"ï..Age","BusinessTravel","Department","DistanceFromHome","Education","EnvironmentSatisfaction","Gender","JobInvolvement","JobLevel","JobRotation","FeedbackFromManager","Mentoring","JobRole","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","Training","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Performance"
35,"Travel_Rarely","Research & Development",8,2,2,"Male",2,2,1,"H","N","Manufacturing Director",5916,15497,3,"Yes",13,1,0,8,"Y",3,1,0,0,1,55
31,"Travel_Rarely","Sales",16,1,2,"Male",3,2,2,"H","N","Sales Executive",6582,8346,4,"Yes",13,3,0,10,"Y",4,6,5,0,5,72
38,"Travel_Frequently","Production",18,3,4,"Female",2,1,4,"L","Y","Machinists ",2440,23826,4,"No",22,2,0,4,"Y",3,4,3,3,3,65
37,"Travel_Rarely","Sales",15,4,1,"Male",2,3,1,"H","Y","Sales Executive",10609,14922,4,"No",11,3,0,17,"Y",1,14,1,11,7,51
32,"Non-Travel","Research & Development",1,4,4,"Male",3,2,2,"H","N","Research and Design Specialists",4087,25174,7,"No",14,2,1,9,"Y",2,6,5,1,2,57
54,"Travel_Rarely","Research & Development",15,3,4,"Male",3,4,2,"L","Y","Research Director",17779,23474,6,"No",14,1,0,36,"Y",3,10,9,0,9,57
43,"Travel_Rarely","Finance",14,4,2,"Male",3,2,2,"L","Y","Accountant",9973,10970,9,"No",18,4,0,7,"N",1,5,3,1,6,62
35,"Travel_Rarely","Research & Development",10,4,3,"Female",3,3,1,"H","N","Customercare Representative",10388,6975,4,"Yes",11,3,1,16,"N",2,16,10,10,1,39
34,"Travel_Frequently","Production",14,4,1,"Female",2,1,1,"L","N","Production Supervisors",6739,7413,8,"No",20,4,1,10,"Y",1,6,4,1,5,33
39,"Non-Travel","Research & Development",12,2,3,"Male",3,3,2,"H","Y","Customercare Representative",10920,3449,9,"No",21,2,1,13,"N",3,6,4,0,5,41
32,"Travel_Rarely","Finance",19,3,1,"Female",2,2,1,"L","N","Accountant",9189,10108,6,"Yes",15,1,1,5,"Y",3,4,7,1,6,29
54,"Travel_Rarely","Research & Development",9,4,2,"Male",2,5,3,"L","N","IT specialists",8810,9691,9,"Yes",20,1,0,5,"N",2,5,6,3,2,42
37,"Travel_Rarely","Sales",21,3,3,"Male",3,3,2,"L","N","Sales Executive",7428,14506,2,"No",12,1,0,12,"N",3,5,3,1,3,36
40,"Travel_Frequently","Research & Development",7,4,3,"Male",2,4,4,"H","N","Customercare Representative",13503,14115,1,"No",22,4,1,22,"Y",2,22,3,11,11,69
49,"Travel_Rarely","Sales",10,3,3,"Female",3,3,2,"L","N","Sales Executive",7654,5860,9,"No",18,1,2,9,"N",4,9,8,7,7,33
33,"Travel_Rarely","Research & Development",14,1,2,"Female",3,1,2,"L","N","Research and Design Specialists",3452,17241,6,"No",18,1,0,5,"N",3,3,2,0,2,48
55,"Travel_Rarely","Research & Development",9,4,2,"Male",4,4,2,"H","Y","Research Director",14732,12414,3,"No",13,4,2,31,"Y",4,7,7,0,0,66
32,"Travel_Frequently","Finance",9,4,1,"Female",2,3,1,"L","Y","Accountant",9797,10777,2,"No",15,1,1,8,"Y",2,6,2,3,7,74
32,"Non-Travel","Production",18,3,4,"Male",3,1,2,"L","Y","Machinists ",2314,9148,8,"No",12,2,1,4,"Y",3,3,0,0,2,68
42,"Travel_Rarely","Research & Development",13,4,4,"Male",3,2,2,"L","Y","Research and Design Specialists",5410,11189,8,"Yes",17,3,1,9,"Y",2,4,3,1,2,53
40,"Travel_Frequently","Sales",9,4,4,"Male",2,3,2,"H","N","Sales Executive",10475,23772,2,"Yes",21,3,1,20,"Y",3,18,13,1,12,59
34,"Non-Travel","Sales",21,4,3,"Female",3,2,2,"L","N","Sales Executive",6538,12740,9,"No",15,1,1,6,"N",3,3,2,1,2,43
30,"Travel_Frequently","Research & Development",18,4,2,"Male",2,1,2,"H","Y","Research and Design Specialists",3761,2373,6,"No",12,2,1,10,"Y",2,5,4,0,3,57
59,"Travel_Rarely","Sales",6,3,1,"Female",3,3,1,"H","N","Sales Executive",7637,2354,7,"No",11,4,0,28,"N",2,21,16,7,9,68
42,"Travel_Rarely","Production",19,3,3,"Male",2,1,2,"L","Y","Machinists ",4841,24052,1,"No",14,2,1,4,"Y",3,1,0,0,0,70
32,"Travel_Rarely","Research & Development",2,3,3,"Female",2,2,2,"L","N","Manufacturing Director",6162,19124,4,"No",12,3,1,14,"N",3,14,13,6,8,44
54,"Travel_Rarely","Sales",2,4,3,"Female",2,3,1,"L","N","Sales Executive",10686,8392,9,"No",11,2,1,13,"N",3,9,4,7,0,47
50,"Travel_Rarely","Finance",11,4,2,"Male",3,3,1,"L","Y","Accountant",9819,10801,9,"Yes",15,2,0,9,"N",2,4,6,3,5,69
33,"Travel_Rarely","Research & Development",22,4,4,"Male",3,1,1,"L","N","Research and Design Specialists",2686,5207,8,"Yes",13,3,0,10,"N",2,10,9,7,8,38
31,"Travel_Frequently","Research & Development",7,4,2,"Male",3,3,2,"H","N","Research Director",13675,13523,9,"No",12,1,1,9,"Y",3,2,2,2,2,68
26,"Travel_Rarely","IT_Suppport",9,3,2,"Male",4,3,2,"H","Y","IT specialists",5171,5688,3,"No",15,1,1,5,"Y",1,8,7,1,6,68
45,"Travel_Rarely","Sales",18,2,3,"Female",3,2,4,"H","N","Sales Executive",5006,6319,4,"Yes",11,1,1,9,"Y",4,5,4,0,3,69
28,"Travel_Rarely","Sales",16,3,4,"Male",3,2,1,"L","Y","Sales Executive",8463,23490,2,"No",18,4,0,6,"Y",3,5,4,1,3,56
44,"Travel_Rarely","Finance",17,3,1,"Male",3,2,1,"L","Y","Accountant",9721,10693,2,"Yes",17,2,0,10,"N",1,2,4,3,3,55
21,"Travel_Rarely","Production",24,3,3,"Female",2,1,2,"L","N","Machinists ",1416,17258,7,"No",13,1,0,1,"N",2,1,0,1,0,30
26,"Travel_Rarely","Production",8,4,1,"Male",3,1,1,"L","N","Machinists ",2373,14180,2,"Yes",13,4,1,5,"N",3,3,2,0,2,27
18,"Non-Travel","Production",19,3,4,"Female",3,1,4,"L","N","Machinists ",1611,19305,6,"No",15,3,0,0,"Y",4,0,0,0,0,65
22,"Travel_Rarely","Production",1,1,3,"Female",3,1,2,"L","N","Machinists ",2398,15999,1,"Yes",17,3,0,1,"Y",3,1,0,0,0,68
43,"Travel_Rarely","Research & Development",19,2,3,"Male",2,4,2,"L","N","Research Director",17603,3525,2,"No",24,1,1,14,"Y",3,14,10,6,11,72
53,"Travel_Rarely","IT_Suppport",1,4,2,"Male",3,3,1,"L","Y","IT specialists",5782,6360,7,"No",17,3,1,5,"Y",3,8,2,2,7,57
38,"Non-Travel","Sales",17,3,3,"Female",3,2,4,"L","Y","Sales Executive",5666,19899,9,"Yes",13,2,0,6,"Y",3,5,3,1,3,63
44,"Travel_Frequently","Research & Development",12,1,2,"Male",3,3,2,"L","N","Manufacturing Director",10209,19719,6,"Yes",18,2,0,16,"Y",2,2,2,2,2,66
32,"Travel_Frequently","Sales",15,2,4,"Male",1,2,1,"L","N","Sales Executive",4668,22812,0,"No",17,4,3,9,"N",4,8,7,0,7,47
29,"Travel_Rarely","Sales",25,1,4,"Female",2,2,2,"H","N","Sales Executive",8268,11866,1,"Yes",14,1,2,7,"Y",3,7,7,1,7,59
32,"Travel_Rarely","Sales",12,4,2,"Female",3,1,4,"H","Y","IT specialists",10642,11706,8,"Yes",16,3,1,6,"Y",3,4,6,1,4,65
58,"Non-Travel","Research & Development",5,4,4,"Male",1,2,2,"H","N","Customercare Representative",5660,17056,2,"Yes",13,4,1,12,"Y",3,5,3,1,2,91
42,"Travel_Frequently","Sales",21,3,3,"Male",3,4,2,"L","Y","Sales Executive",13758,2447,7,"Yes",12,2,0,22,"N",2,21,9,13,14,44
26,"Travel_Rarely","Finance",5,3,2,"Male",2,3,2,"L","N","Accountant",8999,9899,6,"No",20,4,1,10,"N",2,4,2,1,2,42
26,"Travel_Rarely","Production",16,4,4,"Male",1,1,1,"L","Y","Machinists ",2305,6217,2,"No",15,3,3,3,"N",4,3,2,0,2,47
27,"Travel_Rarely","Research & Development",8,3,3,"Female",3,1,4,"L","Y","Research and Design Specialists",3445,6152,5,"No",11,3,0,6,"Y",2,6,2,1,4,79
40,"Travel_Frequently","Research & Development",1,2,3,"Female",4,2,2,"H","Y","Customercare Representative",4244,9931,2,"No",24,4,1,8,"Y",3,8,7,3,7,66
26,"Travel_Rarely","IT_Suppport",5,3,1,"Female",2,3,3,"L","Y","IT specialists",5304,5834,4,"No",20,4,0,9,"Y",3,10,3,3,7,56
32,"Non-Travel","Sales",24,4,4,"Male",4,2,2,"L","N","Sales Executive",4707,23914,5,"No",12,4,0,6,"N",3,4,2,1,2,42
33,"Travel_Rarely","Research & Development",9,3,4,"Male",2,3,2,"H","Y","Customercare Representative",7119,21214,2,"No",15,3,1,9,"Y",3,3,2,1,2,62
36,"Travel_Rarely","Production",17,3,1,"Male",3,1,4,"L","Y","Machinists ",2013,10950,4,"No",11,3,0,15,"Y",3,4,3,1,3,74
34,"Non-Travel","Research & Development",14,1,1,"Female",2,1,1,"H","Y","Research and Design Specialists",2029,15891,9,"No",20,3,3,5,"N",3,5,4,0,0,47
30,"Travel_Frequently","Research & Development",22,3,3,"Male",3,1,1,"L","N","Research and Design Specialists",2285,3427,9,"Yes",23,3,0,3,"N",3,1,0,0,0,26
49,"Travel_Rarely","Research & Development",14,2,1,"Male",2,5,2,"L","Y","Manager",18711,12124,6,"No",13,3,1,23,"Y",4,1,0,0,0,66
28,"Travel_Rarely","Sales",24,4,2,"Male",3,2,4,"H","N","Sales Executive",5253,20750,1,"No",16,4,0,7,"Y",3,7,5,0,7,65
50,"Travel_Rarely","Production",15,3,3,"Male",2,1,2,"H","N","Machinists ",3690,3425,2,"No",15,4,1,5,"Y",2,3,2,0,2,60
47,"Travel_Rarely","Finance",20,4,2,"Female",3,3,2,"L","Y","Accountant",8455,9301,8,"No",15,2,1,8,"N",3,6,3,1,6,56
31,"Travel_Rarely","Research & Development",8,4,3,"Male",3,1,3,"H","N","Research and Design Specialists",2695,7747,0,"Yes",18,2,1,3,"Y",1,2,2,2,2,75
27,"Travel_Rarely","Sales",24,3,3,"Female",4,1,1,"H","Y","Sales Representative",2534,6527,3,"No",14,2,1,5,"N",3,1,0,0,0,39
25,"Travel_Rarely","Production",2,3,1,"Male",3,1,1,"L","N","Machinists ",4031,9396,5,"No",13,3,1,6,"N",3,2,2,0,2,47
